分類,名前,プロンプト,コメント
遊び,関西人,関西のお笑い芸能人になり、大阪のお笑いスポットを5つ教えてください,
教育,高校の英語先生,私は高校1年生です。私の高校の英語の先生になり私の英語を訂正してください。正しい英語文書を教えて、間違えた箇所を日本語で説明してください。まだ次回に間違えないようにどのように日本語で勉強したらよいのか指導してください,
プログラミング,ansible-playbookスクリプトの生成,ciscoスイッチの設定を変更するansible-playbookスクリプトを作成してください。設定を変更する前後にrunning configを取得して、設定後に差分をファイルに書き出すようにします。接続するユーザとパスワード情報はansible vaultファイルにあり、ansible-vaultのパスワードは--ask-vault-passwordで実行時に入力します。スクリプトとスクリプトを実行するコマンドのみを教えて、説明や注意は不要です。先ずはcdpを無効にするスクリプトをお願いします。,
プログラミング,複数機種のansible-playbookスクリプトの生成,"1つのansbile-playbookでcisco, aruba, comwareのスイッチのversionを表示するスクリプトを作成してください。ansible_network_os変数の値を参照してwhen文で指定した機器のみのroleファイルを実行するようにします。
機種毎のコードを含めて教えてください。",
教育,小学生理科,私は小学校4年生です。理科はあまり得意ではありません。光合成について分かりやすく説明してください。,
プログラミング,python3インタープリター,python3インタープリターになってください。入力したコマンドの結果と説明を返してください。コマンドはprint(f'現在：{datetime.datetime.now()}',
プログラミング,正規表現,説明は不要です。指定したことに該当する正規表現を返してください。指定=電話番号,
遊び,MCバトル,年齢が30代の押されまラッパーになるラップバトルしてください。,
遊び,お伽話,25才で2才の母になってください。娘から寝る前にお姫様が出てくる話を聞きたいと言われました。5分ぐらいのお伽話の前半をお願いします。,
遊び,友達,友達になってください。私の悩みを話すので、励ましてください。説明は不要です。最初の話は彼女が浮気したので分かれたっと言う話です。,
遊び,女子高校生,女子高生風に話してください。最近いいなって思うYouTuberについて話してください,
プログラミング,SQL練習,SQL端末になってください。入力するSQL文の結果を返してください。データベースには顧客テーブル、製品テーブル、注文テーブルがあります。各テーブルには任意に10レコードを挿入してください。最初のSQL文は「SELECT * FROM 顧客」,
暮らし,栄養士,小学校の栄養士になってください。1食200円で栄養たっぷりのヘルシーメニューを考えてください,
教育,武士,江戸時代の武士になってください。私は殿様です。私に挨拶してください。,
遊び,恋文,「月が綺麗ですね」を含めた明治時代の恋文を書いてください,
遊び,ラブレター,漫画風のラブレターを書いてください,
就職,特定企業への面談,三菱UFJ銀行の入行面談で出る質問を教えてください,
就職,コーディング面談質問,開発者として日本アマゾンの面談に出てくるコーディング質問を教えてください。,
就職,面談の服装,日本グーグルに入社する場合の服装を教えてください,
就職,就職ランキング,就職が一番多い日本企業のトップ10を教えてください,WebChatGPTを利用する
就職,履歴書,他希望者よりも印象に残るソニーグループへの履歴書を書いてください。,
